"","Metric","Value","Change (#)","Change (%)","Change from"
"1","Cumulative confirmed Omicron cases","602,379","+ 60,038","+ 11.1 %","Last week"
"2","Countries/territories with confirmed Omicron case(s)","160","+ 14","+ 9.6 %","Last week"
"3","Total Covid-19 cases reported in the last 7 days","19,365,914","+ 6,144,559","+ 46.5 %","Last week"
"4","Percent of Covid-19 cases sequenced in the last 30 days*","0.82 %","-1.19 %","-59.2 %","30 days ago"
