"","Region","region_pop","region_cases_last_7_days","region_cases_last_7_days_per_100k","region_vax_rate","prev_per_100k","prev","m_test","m_v","event_size","Same vax % as county","Rapid test right before","100% vaccinated","100% vax & rapid test"
"41","Northeast",49274692,299752,608,0.650068193221786,2432,0.0243331404283562,0.214,0.86958731675556,41,63.6,19.3,58.4,17
"42","Northeast",49274692,299752,608,0.650068193221786,2432,0.0243331404283562,0.214,0.86958731675556,42,64.5,19.7,59.3,17.4
"43","Northeast",49274692,299752,608,0.650068193221786,2432,0.0243331404283562,0.214,0.86958731675556,43,65.3,20.1,60.1,17.7
"44","Northeast",49274692,299752,608,0.650068193221786,2432,0.0243331404283562,0.214,0.86958731675556,44,66.2,20.5,61,18.1
"45","Northeast",49274692,299752,608,0.650068193221786,2432,0.0243331404283562,0.214,0.86958731675556,45,67,20.9,61.8,18.5
"46","Northeast",49274692,299752,608,0.650068193221786,2432,0.0243331404283562,0.214,0.86958731675556,46,67.8,21.3,62.6,18.8
"47","Northeast",49274692,299752,608,0.650068193221786,2432,0.0243331404283562,0.214,0.86958731675556,47,68.6,21.8,63.4,19.2
"48","Northeast",49274692,299752,608,0.650068193221786,2432,0.0243331404283562,0.214,0.86958731675556,48,69.3,22.2,64.2,19.6
"49","Northeast",49274692,299752,608,0.650068193221786,2432,0.0243331404283562,0.214,0.86958731675556,49,70.1,22.6,64.9,19.9
"50","Northeast",49274692,299752,608,0.650068193221786,2432,0.0243331404283562,0.214,0.86958731675556,50,70.8,23,65.7,20.3
"51","Midwest",68312091,313273,459,0.553859228229451,1836,0.0183436340720415,0.214,0.839487343684436,1,1.8,0.4,1.5,0.3
"52","Midwest",68312091,313273,459,0.553859228229451,1836,0.0183436340720415,0.214,0.839487343684436,2,3.6,0.8,3.1,0.7
"53","Midwest",68312091,313273,459,0.553859228229451,1836,0.0183436340720415,0.214,0.839487343684436,3,5.4,1.2,4.5,1
"54","Midwest",68312091,313273,459,0.553859228229451,1836,0.0183436340720415,0.214,0.839487343684436,4,7.1,1.6,6,1.3
"55","Midwest",68312091,313273,459,0.553859228229451,1836,0.0183436340720415,0.214,0.839487343684436,5,8.8,1.9,7.5,1.6
"56","Midwest",68312091,313273,459,0.553859228229451,1836,0.0183436340720415,0.214,0.839487343684436,6,10.5,2.3,8.9,2
"57","Midwest",68312091,313273,459,0.553859228229451,1836,0.0183436340720415,0.214,0.839487343684436,7,12.2,2.7,10.3,2.3
"58","Midwest",68312091,313273,459,0.553859228229451,1836,0.0183436340720415,0.214,0.839487343684436,8,13.8,3.1,11.7,2.6
"59","Midwest",68312091,313273,459,0.553859228229451,1836,0.0183436340720415,0.214,0.839487343684436,9,15.3,3.5,13,2.9
"60","Midwest",68312091,313273,459,0.553859228229451,1836,0.0183436340720415,0.214,0.839487343684436,10,16.9,3.9,14.4,3.2
"61","Midwest",68312091,313273,459,0.553859228229451,1836,0.0183436340720415,0.214,0.839487343684436,11,18.4,4.2,15.7,3.6
"62","Midwest",68312091,313273,459,0.553859228229451,1836,0.0183436340720415,0.214,0.839487343684436,12,19.9,4.6,17,3.9
"63","Midwest",68312091,313273,459,0.553859228229451,1836,0.0183436340720415,0.214,0.839487343684436,13,21.4,5,18.3,4.2
"64","Midwest",68312091,313273,459,0.553859228229451,1836,0.0183436340720415,0.214,0.839487343684436,14,22.8,5.4,19.5,4.5
"65","Midwest",68312091,313273,459,0.553859228229451,1836,0.0183436340720415,0.214,0.839487343684436,15,24.2,5.7,20.8,4.8
"66","Midwest",68312091,313273,459,0.553859228229451,1836,0.0183436340720415,0.214,0.839487343684436,16,25.6,6.1,22,5.1
"67","Midwest",68312091,313273,459,0.553859228229451,1836,0.0183436340720415,0.214,0.839487343684436,17,27,6.5,23.2,5.5
"68","Midwest",68312091,313273,459,0.553859228229451,1836,0.0183436340720415,0.214,0.839487343684436,18,28.3,6.8,24.4,5.8
"69","Midwest",68312091,313273,459,0.553859228229451,1836,0.0183436340720415,0.214,0.839487343684436,19,29.7,7.2,25.5,6.1
"70","Midwest",68312091,313273,459,0.553859228229451,1836,0.0183436340720415,0.214,0.839487343684436,20,30.9,7.6,26.7,6.4
"71","Midwest",68312091,313273,459,0.553859228229451,1836,0.0183436340720415,0.214,0.839487343684436,21,32.2,7.9,27.8,6.7
"72","Midwest",68312091,313273,459,0.553859228229451,1836,0.0183436340720415,0.214,0.839487343684436,22,33.5,8.3,28.9,7
"73","Midwest",68312091,313273,459,0.553859228229451,1836,0.0183436340720415,0.214,0.839487343684436,23,34.7,8.6,30,7.3
"74","Midwest",68312091,313273,459,0.553859228229451,1836,0.0183436340720415,0.214,0.839487343684436,24,35.9,9,31.1,7.6
"75","Midwest",68312091,313273,459,0.553859228229451,1836,0.0183436340720415,0.214,0.839487343684436,25,37.1,9.4,32.2,7.9
"76","Midwest",68312091,313273,459,0.553859228229451,1836,0.0183436340720415,0.214,0.839487343684436,26,38.2,9.7,33.2,8.2
"77","Midwest",68312091,313273,459,0.553859228229451,1836,0.0183436340720415,0.214,0.839487343684436,27,39.3,10.1,34.2,8.5
"78","Midwest",68312091,313273,459,0.553859228229451,1836,0.0183436340720415,0.214,0.839487343684436,28,40.5,10.4,35.2,8.8
"79","Midwest",68312091,313273,459,0.553859228229451,1836,0.0183436340720415,0.214,0.839487343684436,29,41.5,10.8,36.2,9.1
"80","Midwest",68312091,313273,459,0.553859228229451,1836,0.0183436340720415,0.214,0.839487343684436,30,42.6,11.1,37.2,9.4
"81","Midwest",68312091,313273,459,0.553859228229451,1836,0.0183436340720415,0.214,0.839487343684436,31,43.7,11.5,38.2,9.7
"82","Midwest",68312091,313273,459,0.553859228229451,1836,0.0183436340720415,0.214,0.839487343684436,32,44.7,11.8,39.1,10
"83","Midwest",68312091,313273,459,0.553859228229451,1836,0.0183436340720415,0.214,0.839487343684436,33,45.7,12.2,40.1,10.3
"84","Midwest",68312091,313273,459,0.553859228229451,1836,0.0183436340720415,0.214,0.839487343684436,34,46.7,12.5,41,10.6
"85","Midwest",68312091,313273,459,0.553859228229451,1836,0.0183436340720415,0.214,0.839487343684436,35,47.7,12.9,41.9,10.9
"86","Midwest",68312091,313273,459,0.553859228229451,1836,0.0183436340720415,0.214,0.839487343684436,36,48.6,13.2,42.8,11.2
"87","Midwest",68312091,313273,459,0.553859228229451,1836,0.0183436340720415,0.214,0.839487343684436,37,49.6,13.5,43.7,11.5
"88","Midwest",68312091,313273,459,0.553859228229451,1836,0.0183436340720415,0.214,0.839487343684436,38,50.5,13.9,44.6,11.8
"89","Midwest",68312091,313273,459,0.553859228229451,1836,0.0183436340720415,0.214,0.839487343684436,39,51.4,14.2,45.4,12.1
"90","Midwest",68312091,313273,459,0.553859228229451,1836,0.0183436340720415,0.214,0.839487343684436,40,52.3,14.6,46.2,12.4
"91","Midwest",68312091,313273,459,0.553859228229451,1836,0.0183436340720415,0.214,0.839487343684436,41,53.2,14.9,47.1,12.7
"92","Midwest",68312091,313273,459,0.553859228229451,1836,0.0183436340720415,0.214,0.839487343684436,42,54,15.2,47.9,12.9
"93","Midwest",68312091,313273,459,0.553859228229451,1836,0.0183436340720415,0.214,0.839487343684436,43,54.9,15.6,48.7,13.2
"94","Midwest",68312091,313273,459,0.553859228229451,1836,0.0183436340720415,0.214,0.839487343684436,44,55.7,15.9,49.5,13.5
"95","Midwest",68312091,313273,459,0.553859228229451,1836,0.0183436340720415,0.214,0.839487343684436,45,56.5,16.2,50.3,13.8
"96","Midwest",68312091,313273,459,0.553859228229451,1836,0.0183436340720415,0.214,0.839487343684436,46,57.3,16.6,51,14.1
"97","Midwest",68312091,313273,459,0.553859228229451,1836,0.0183436340720415,0.214,0.839487343684436,47,58.1,16.9,51.8,14.4
"98","Midwest",68312091,313273,459,0.553859228229451,1836,0.0183436340720415,0.214,0.839487343684436,48,58.9,17.2,52.5,14.7
"99","Midwest",68312091,313273,459,0.553859228229451,1836,0.0183436340720415,0.214,0.839487343684436,49,59.6,17.5,53.3,14.9
"100","Midwest",68312091,313273,459,0.553859228229451,1836,0.0183436340720415,0.214,0.839487343684436,50,60.4,17.9,54,15.2
