N,Country,City ,State,Latitude ,Longitude ,Website
45,United States,San Diego,California,32.879732,-117.229282,https://returntolearn.ucsd.edu/dashboard/index.html
46,United States,Helena ,Montana,46.590977,-112.019816,https://www.lccountymt.gov/health/covid-19/local-covid-19-decision-making-dashboard.html
47,USA,Mansfield,Connecticut,41.811451,-72.26445,https://covid-testing.uconn.edu/dashboard/
48,France,,,46.601375,2.309586,https://www.reseau-obepine.fr/carte-des-tendances/
49,Canada,Calgary,Alberta,50.994023,-114.071468,https://www.chi-csm.ca/
50,Spain ,Madrid ,,40.420033,-3.701925,https://www.canaldeisabelsegunda.es/mapa-vigia
51,Canada,,Northwest Territories,64.8255,-124.8457,https://nwt-covid.shinyapps.io/Testing-and-Cases/?lang=1 
52,Sweden,Uppsala,,59.8586,17.69389,https://crush-covid.shinyapps.io/crush_covid/ 
53,United States,Telluride ,Colorado,37.9375,-107.8123,https://sanmiguelco.maps.arcgis.com/apps/opsdashboard/index.html#/56e682135d1d4128bee1a0426aed1d10
54,Canada,,Metro Vancouver,49.2501,-123.0824,http://www.metrovancouver.org/services/liquid-waste/environmental-management/covid-19-wastewater/Pages/default.aspx
55,Spain,,,40.4637,-3.7492,https://miteco.maps.arcgis.com/apps/opsdashboard/index.html#/a8c1f281dfc445169a78178b70774a62
56,USA,St. Mary's County,Maryland,38.34417,-76.576428,http://smchd.org/covid-19-wastewater
57,Spain,Edar Bens,A Coruna,43.3677,-8.4559,Edarbens.es/covid19
58,USA,"Davis, Gilroy, Palo Alto, Redwood City, Sacramento, San Jose, San Fransisco, Modesto, Merced, & Sunnyvale",California,37.337959,-121.887077,https://soe-wbe-pilot.wl.r.appspot.com/charts#page=overview
58,USA ,Modesto,California,37.60952598,-121.0120767,https://soe-wbe-pilot.wl.r.appspot.com/charts#page=overview
58,USA,Merced,California,37.25377144,-120.5252675,https://soe-wbe-pilot.wl.r.appspot.com/charts#page=overview
59,USA,Davis,California,38.543235,-121.741028,https://healthydavistogether.org/wastewater-testing/
60,Sweden,"Örebro, Umeå, Uppsala, & Stockholm",,59.437352,17.925357,https://covid19dataportal.se/data_types/environment/wastewater/
61,USA,South Hadley,Massachusetts,42.259215,-72.5748,https://southhadley.org/DocumentCenter/Index/604
61,Greece,Athens,Attica,37.940447,23.586069,http://trams.chem.uoa.gr/covid-19/
61,Slovenia,,,46.051235,14.638275,https://covid-19.sledilnik.org/en/stats
61,USA,Berekely,California,37.871598,-122.27306,https://coronavirus.berkeley.edu/dashboard/wastewater/
61,Canada,Kingston,Ontario,44.234471,-76.47682,https://www.kflaph.ca/en/healthy-living/covid-19-in-city-of-kingston-wastewater.aspx
61,USA,"Gilroy, Palo Alto, San José, & Sunnyvale",California,37.003027,-121.556574,https://www.sccgov.org/sites/covid19/Pages/dashboard-wastewater.aspx
61,Canada,London,Ontario,42.984905,-81.245234,http://www.519covid.ca/
61,Canada,Region of Peel,Ontario,43.550778,-79.586642,https://www.peelregion.ca/health-professionals/covid-19/#symptoms
61,Austria,Hohenems,Vorarlberg,47.36556,9.663055,https://www.coron-a.at/dashboard/
61,Canada,Saskatoon,Saskatchewan,52.157922,-106.670099,https://water.usask.ca/covid-19/#ResearchersandFunding
61,Australia,,New South Wales,-33.85437,151.209325,https://www.health.nsw.gov.au/Infectious/covid-19/Pages/sewage-surveillance.aspx
61,USA,"Newport, Cascades, and Corvallis",Oregon,44.622395,-124.045247,https://trace.oregonstate.edu/testing-results
61,Bangladesh,Dhaka,,23.8103,90.4125,https://erin-wettstone.shinyapps.io/Dashboard_V6/ 
61,USA,,Michigan,44.3148,-85.6024,https://arcg.is/1KySSv 
61,Canada,,Quebec,46.804863,-71.21337,https://www.centreau.ulaval.ca/donnees-du-projet-centreau-covid/
61,France,,,47.3894,2.501875,https://covidtracker.fr/covidexplorer/
61,USA,Palm Springs,California,33.844916,-116.505921,https://www.palmspringsca.gov/government/departments/community-economic-development-department/wastewater-treatment-plant-covid-19-test-reports
61,Australia,,Tasmania,-41.90952,146.507197,https://www.coronavirus.tas.gov.au/facts/covid-19-wastewater-testing/covid-19-wastewater-testing-results
61,USA,Jackson county & Haywood county,North Carolina ,35.6244,-82.9932,https://wastewater.covid19.mathematica.org/ 
61,USA,Louisville,Kentucky,38.219604,-85.759404,https://louisville.edu/envirome/thecoimmunityproject/dashboard
61,Canada,,Waterloo,43.4758,-80.5438,https://www.regionofwaterloo.ca/en/health-and-wellness/covid-19-wastewater-surveillance.aspx#
61,USA,,North Carolina ,35.76988083,-78.65646851,https://covid19.ncdhhs.gov/dashboard/wastewater-monitoring
61,Australia,,Western ,-31.994049,115.835394,https://ww2.health.wa.gov.au/Articles/A_E/Coronavirus/COVID19-wastewater-testing
61,Canada,,,55.363587,-100.707641,https://cwn-rce.ca/covid-19-wastewater-coalition/covid-19-wastewater-coalition-maps/
85,USA,Arapahoe (County),Colorado,39.637074,-104.489017,https://www.biobot.io/data
85,USA,Berkshire (County),Massachusetts,42.374463,-73.221437,https://www.biobot.io/data
85,USA,Dauphin (County),Pennsylvania,40.44096,-76.82678,https://www.biobot.io/data
85,USA,Elko (County),Nevada,40.834453,-115.759622,https://www.biobot.io/data
85,USA,Erie (County),Pennsylvania,42.018673,-80.086436,https://www.biobot.io/data
85,USA,Essex (County),Massachusetts,42.650697,-70.897948,https://www.biobot.io/data
85,USA,Fairfield (County),Connecticut,41.25669,-73.354763,https://www.biobot.io/data
85,USA,Franklin (County),Pennsylvania,39.977455,-77.812662,https://www.biobot.io/data
85,USA,Hamilton (County),Tennessee,35.148477,-85.164287,https://www.biobot.io/data
85,USA,Hampshire (County),Massachusetts,42.352508,-72.798132,https://www.biobot.io/data
85,USA,Indiana (County),Pennsylvania,40.575313,-79.029223,https://www.biobot.io/data
85,USA,Jackson (County),Oregon,42.353189,-122.780187,https://www.biobot.io/data
85,USA,Jefferson (County),Kentucky,38.211773,-85.708664,https://www.biobot.io/data
85,USA,Lake (County),Indiana,41.371606,-87.433575,https://www.biobot.io/data
85,USA,Miami-Dade (County),,25.842894,-80.518517,https://www.biobot.io/data
85,USA,Middlesex (County),Massachusetts,42.43573,-71.149927,https://www.biobot.io/data
